Year,Inflation,Bogleheads Three Funds Portfolio,60/40 Portfolio,40/60 Portfolio,Harry Browne Permanent Portfolio,Gold,,,,,,,
1987,4.43%,10.76%,2.18%,1.97%,7.54%,24.53%,,,,,,,
1988,4.42%,17.83%,13.33%,11.34%,4.50%,-15.26%,,,,,,,
1989,4.65%,20.64%,22.33%,19.43%,12.96%,-2.84%,,,,,,,
1990,6.11%,-8.74%,-0.19%,2.76%,1.12%,-3.11%,,,,,,,
1991,3.06%,22.09%,25.53%,22.10%,11.74%,-8.56%,,,,,,,
1992,2.90%,1.54%,8.32%,7.93%,3.59%,-5.73%,,,,,,,
1993,2.75%,16.23%,10.25%,10.06%,12.03%,17.68%,,,,,,,
1994,2.67%,2.31%,-1.16%,-1.66%,-1.29%,-2.17%,,,,,,,
1995,2.54%,22.72%,28.74%,25.22%,18.14%,0.98%,,,,,,,
1996,3.32%,12.60%,14.01%,10.53%,5.07%,-4.59%,,,,,,,
1997,1.70%,17.15%,22.37%,18.06%,7.18%,-21.41%,,,,,,,
1998,1.61%,18.03%,17.39%,14.45%,10.12%,-0.83%,,,,,,,
1999,2.68%,20.73%,13.98%,9.07%,5.19%,0.85%,,,,,,,
2000,3.39%,-7.69%,-1.79%,2.61%,2.42%,-5.44%,,,,,,,
2001,1.55%,-9.84%,-3.21%,0.67%,-0.55%,0.75%,,,,,,,
2002,2.38%,-13.35%,-9.27%,-3.43%,5.73%,25.57%,,,,,,,
2003,1.88%,28.57%,20.40%,14.93%,13.74%,19.89%,,,,,,,
2004,3.26%,13.36%,9.20%,7.55%,6.40%,4.65%,,,,,,,
2005,3.42%,8.14%,4.55%,3.83%,8.37%,17.76%,,,,,,,
2006,2.54%,16.60%,11.01%,8.77%,11.16%,22.55%,,,,,,,
2007,4.08%,8.79%,6.06%,6.35%,12.44%,30.45%,,,,,,,
2008,0.09%,-30.74%,-20.20%,-11.78%,-2.02%,4.92%,,,,,,,
2009,2.72%,26.55%,19.59%,15.04%,10.21%,24.03%,,,,,,,
2010,1.50%,13.17%,12.82%,10.69%,13.86%,29.27%,,,,,,,
2011,2.96%,-2.38%,3.60%,4.92%,9.97%,9.57%,,,,,,,
2012,1.74%,14.38%,11.37%,8.93%,6.60%,6.60%,,,,,,,
2013,1.50%,20.74%,19.10%,11.98%,-1.99%,-28.33%,,,,,,,
2014,0.76%,6.09%,9.76%,8.43%,8.89%,-2.19%,,,,,,,
2015,0.73%,-1.11%,0.29%,0.30%,-2.97%,-10.67%,,,,,,,
2016,2.07%,8.16%,8.52%,6.51%,5.52%,8.03%,,,,,,,
2017,2.11%,19.43%,14.01%,10.49%,10.83%,12.81%,,,,,,,
2018,1.91%,-6.99%,-3.20%,-2.18%,-1.80%,-1.94%,,,,,,,
2019,2.29%,23.48%,21.83%,17.42%,16.19%,17.86%,,,,,,,
2020,1.36%,15.31%,15.57%,12.92%,16.10%,24.81%,,,,,,,
2021,7.04%,15.03%,14.65%,9.18%,4.19%,-4.15%,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
