Year,GDP growth (annual %),,,,,,,,,,,
1987,3.45925199,,,,,,,,,,,
1988,4.177061291,,,,,,,,,,,
1989,3.67264815,,,,,,,,,,,
1990,1.885964957,,,,,,,,,,,
1991,-0.108264791,,,,,,,,,,,
1992,3.522440527,,,,,,,,,,,
1993,2.751781051,,,,,,,,,,,
1994,4.02879326,,,,,,,,,,,
1995,2.684217272,,,,,,,,,,,
1996,3.772565499,,,,,,,,,,,
1997,4.447174945,,,,,,,,,,,
1998,4.481394432,,,,,,,,,,,
1999,4.794499045,,,,,,,,,,,
2000,4.077159479,,,,,,,,,,,
2001,0.954338729,,,,,,,,,,,
2002,1.695942923,,,,,,,,,,,
2003,2.796209101,,,,,,,,,,,
2004,3.852552601,,,,,,,,,,,
2005,3.48322032,,,,,,,,,,,
2006,2.782810626,,,,,,,,,,,
2007,2.010507552,,,,,,,,,,,
2008,0.122188443,,,,,,,,,,,
2009,-2.599888351,,,,,,,,,,,
2010,2.708856694,,,,,,,,,,,
2011,1.54989495,,,,,,,,,,,
2012,2.280687603,,,,,,,,,,,
2013,1.841875395,,,,,,,,,,,
2014,2.287775933,,,,,,,,,,,
2015,2.706369582,,,,,,,,,,,
2016,1.667472076,,,,,,,,,,,
2017,2.255680481,,,,,,,,,,,
2018,2.918856897,,,,,,,,,,,
2019,2.288869868,,,,,,,,,,,
2020,-3.404589652,,,,,,,,,,,
2021,5.671107191,,,,,,,,,,,
